time_s,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
3.4,-4.068809,-2.131968,10.249191,0.338803,-0.257133,-0.020296
3.425,-3.943374,-4.980692,9.349493,-0.925554,-0.779769,0.069721
3.45,-0.1026,-6.260597,7.145146,0.880683,-0.730633,0.291635
3.475,-1.111778,-1.47349,9.178606,0.268314,0.294049,-0.022527
3.5,-2.76776,-6.747596,8.666928,-0.982643,0.016218,-0.135199
3.525,-2.402944,-6.010943,8.642284,0.735941,0.008492,-0.33022
3.55,-2.064205,-1.938932,8.457982,0.24066,-0.172178,-0.054736
3.575,-1.957186,-5.623693,8.412474,-0.04985,0.005053,0.299241
3.6,-3.024009,-4.059957,9.00604,1.056993,-0.062185,0.164917
3.625,-2.011124,-3.07164,8.864115,-0.177637,-0.346564,0.249637
3.65,-3.485781,-5.304386,9.031391,-0.434905,-0.046899,0.095874
3.675,-4.719562,-7.850989,9.715678,0.24053,-0.454871,-0.398907
3.7,-1.930801,-4.72509,8.735448,1.39785,-0.677663,-0.386722
3.725,-2.470911,-2.293111,9.414422,0.076139,-0.295281,-0.632199
3.75,-2.9998,-6.234149,9.506951,-0.087575,-0.60011,-0.395159
3.775,-2.517863,-5.178709,9.992098,1.380222,-0.819328,-0.311657
3.8,-2.798573,-3.344403,11.039039,0.578921,-0.754188,-0.435074
3.825,-1.571378,-7.823866,8.740354,1.18516,-1.01956,-0.339628
3.85,-1.271822,-1.43153,10.551265,3.111475,-1.023785,-0.274418
3.875,0.216925,1.322225,11.364722,-0.225659,-1.063092,-0.36785
3.9,1.420623,-4.9517,9.19852,-0.317751,-0.763424,-0.374403
3.925,1.604683,-2.958517,10.005179,1.24568,-0.151702,-0.069022
3.95,0.422288,-1.110601,9.792664,0.966701,0.104719,0.220582
3.975,0.24273,-2.22702,9.985009,0.341199,0.161043,0.389308
4.0,0.422316,-1.745705,9.588484,1.123138,0.183076,0.38854
4.025,0.03353,1.982216,11.621372,-0.303551,0.360666,0.307468
4.05,-1.070829,-3.797688,8.58055,-1.863147,0.196648,-0.056353
4.075,-0.142842,-6.411302,8.237664,0.984337,0.037362,0.096951
4.1,-0.1879,1.759955,11.005878,1.084165,-0.046167,0.177049
4.125,0.741437,-0.688424,9.528769,-1.020364,0.205843,-0.213063
4.15,-1.397376,-3.064197,8.958133,-0.87229,0.257602,-0.130501
4.175,-1.07327,-3.37378,8.566973,-0.394458,-0.042466,-0.026784
4.2,-0.886736,-3.133234,9.182374,0.415824,-0.101987,-0.065969
4.225,-0.963008,-2.055479,9.906998,1.004702,-0.238639,0.074729
4.25,-1.102937,-1.003234,10.002383,0.805586,-0.305874,-0.038438
4.275,-0.383126,-1.932346,8.92868,0.532967,-0.553521,0.04231
4.3,0.04614,-0.027236,9.32303,0.816288,-0.361904,0.096083
4.325,0.4498,-0.570744,8.26957,-0.266406,-0.380178,-0.092573
4.35,0.079757,-4.530815,7.914282,1.173864,-0.194137,0.123953
4.375,-0.089346,2.935665,11.014656,1.547474,-0.351831,-0.030316
4.4,-0.878105,0.123886,9.431654,-0.783555,-0.554375,-0.086711
4.425,0.387112,-0.725975,8.108332,-0.407229,-0.56311,-0.00865
4.45,0.522898,-3.756769,7.694798,-0.136886,-0.61374,-0.084211
4.475,0.81923,-0.902226,8.975176,1.648024,-0.005566,0.237651
4.5,0.951116,1.995335,9.467004,0.623785,0.028567,-0.247629
4.525,0.142449,2.348284,9.904264,-1.574666,0.468369,-0.040785
