kc_type,experiment_id,motion_folder,motion_index,motion_name,file_type,path,sampling_frequency,n_samples,duration_sec
arm,exp03,motion03_pause1,motion03,pause1,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp03\motion03_pause1\exp03_motion03_imu_rigid.csv,40.0,90,2.25
arm,exp03,motion03_pause1,motion03,pause1,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp03\motion03_pause1\exp03_motion03_omc.csv,30.0,68,2.2666666666666666
arm,exp03,motion04_dangle2,motion04,dangle2,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp03\motion04_dangle2\exp03_motion04_imu_nonrigid.csv,40.0,2900,72.5
arm,exp03,motion04_dangle2,motion04,dangle2,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp03\motion04_dangle2\exp03_motion04_imu_rigid.csv,40.0,2900,72.5
arm,exp03,motion04_dangle2,motion04,dangle2,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp03\motion04_dangle2\exp03_motion04_omc.csv,30.0,2175,72.5
arm,exp03,motion05_pause2,motion05,pause2,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp03\motion05_pause2\exp03_motion05_imu_nonrigid.csv,40.0,950,23.75
arm,exp03,motion05_pause2,motion05,pause2,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp03\motion05_pause2\exp03_motion05_imu_rigid.csv,40.0,950,23.75
arm,exp03,motion05_pause2,motion05,pause2,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp03\motion05_pause2\exp03_motion05_omc.csv,30.0,712,23.733333333333334
arm,exp03,motion06_slow2,motion06,slow2,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp03\motion06_slow2\exp03_motion06_imu_nonrigid.csv,40.0,650,16.25
arm,exp03,motion06_slow2,motion06,slow2,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp03\motion06_slow2\exp03_motion06_imu_rigid.csv,40.0,650,16.25
arm,exp03,motion06_slow2,motion06,slow2,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp03\motion06_slow2\exp03_motion06_omc.csv,30.0,488,16.266666666666666
