variant,variant_label,changed_term,seed,time_l1,mse,spectral,rmse,pearson,psd_distance,hf_ratio_improvement,acc_norm_rmse,gyr_norm_rmse
l1_1p5,L1 = 1.5,time_l1,46,1.5,0.5,0.2,0.3867610194229454,0.8485435790459596,0.05262723559746124,8.31510298983072,0.5177530744373556,0.17639602769730872
l1_2p0,L1 = 2,time_l1,42,2.0,0.5,0.2,0.38588880302071316,0.8491129413843534,0.053824782629737174,8.326540546234543,0.5176388634770952,0.1751558681481291
l1_2p0,L1 = 2,time_l1,43,2.0,0.5,0.2,0.3850466015373772,0.8490152502918971,0.05294303043970237,8.342381406770883,0.5131543342022578,0.1755795786325812
l1_2p0,L1 = 2,time_l1,44,2.0,0.5,0.2,0.3846321994147929,0.8479193495591212,0.05094314303569333,8.250431640352065,0.5165694234121389,0.17708823216195943
l1_2p0,L1 = 2,time_l1,45,2.0,0.5,0.2,0.3862032563965073,0.8500528045120367,0.05337751114501962,8.302752393225308,0.5156595641713675,0.17508854904927243
l1_2p0,L1 = 2,time_l1,46,2.0,0.5,0.2,0.3995906469995902,0.8484643712100927,0.055057835861304076,8.077183918262495,0.5272209055007167,0.17937682751771897
mse_0p125,MSE = 0.125,mse,42,1.0,0.125,0.2,0.3862219515770274,0.8506906689460171,0.05187479836365034,8.325679906559815,0.5167637265798796,0.17951660287155138
mse_0p125,MSE = 0.125,mse,43,1.0,0.125,0.2,0.3900756043421554,0.8504040408003888,0.055030264127778124,8.304002884710517,0.5221389686589748,0.18231012465522742
mse_0p125,MSE = 0.125,mse,44,1.0,0.125,0.2,0.39204504823737807,0.8487024130612668,0.05490456714794312,8.30383296945185,0.5236486203863451,0.18510192040445764
mse_0p125,MSE = 0.125,mse,45,1.0,0.125,0.2,0.3904864714124094,0.8504585128245644,0.05398006955075726,8.274254069691484,0.5232662519563684,0.1801814260777355
mse_0p125,MSE = 0.125,mse,46,1.0,0.125,0.2,0.39091731491486736,0.849938861474861,0.054145883314920956,8.301881065929313,0.5258513875705885,0.18198842064762413
mse_0p25,MSE = 0.25,mse,42,1.0,0.25,0.2,0.38855705936065893,0.8503182629438284,0.053413442078122784,8.29512938971723,0.520255556928168,0.17890098139394037
mse_0p25,MSE = 0.25,mse,43,1.0,0.25,0.2,0.3922135084578855,0.8499812233088653,0.054542960978323694,8.321655932916226,0.519430021161845,0.17961571923034522
mse_0p25,MSE = 0.25,mse,44,1.0,0.25,0.2,0.39291833257490444,0.8478337713759497,0.05457837572253686,8.28181170013229,0.5243664108162607,0.18501728070922174
mse_0p25,MSE = 0.25,mse,45,1.0,0.25,0.2,0.38810632771526654,0.8511154107551532,0.05325640356523399,8.299002107055513,0.5205016113946284,0.17800180917083028
mse_0p25,MSE = 0.25,mse,46,1.0,0.25,0.2,0.3852520977126361,0.8510026252513051,0.05137045501509379,8.343869261348681,0.5218563927355867,0.17707453050017297
mse_0p75,MSE = 0.75,mse,42,1.0,0.75,0.2,0.3882257378677637,0.8498151296852116,0.054559646012739695,8.356734778904665,0.5188646995565286,0.17562454324785254
mse_0p75,MSE = 0.75,mse,43,1.0,0.75,0.2,0.38632325810375323,0.8492654238244269,0.05294471436194893,8.319851595804172,0.5164486281734513,0.17415380881697745
mse_0p75,MSE = 0.75,mse,44,1.0,0.75,0.2,0.3903986844103207,0.8487267947836248,0.055342826859218104,8.270527912705596,0.5201258343119822,0.18033228743421745
mse_0p75,MSE = 0.75,mse,45,1.0,0.75,0.2,0.38727602465339084,0.8500858661058491,0.05288374108373002,8.29615814598344,0.5176718755039728,0.17565968838726073
mse_0p75,MSE = 0.75,mse,46,1.0,0.75,0.2,0.3854313013100776,0.8499268756443087,0.053794651882677645,8.304078671813993,0.5213454565984597,0.17451774147133925
mse_1p0,MSE = 1,mse,42,1.0,1.0,0.2,0.385025758486755,0.8498693181540828,0.052107062784726633,8.336505665343399,0.5163799034633095,0.17449358700085585
mse_1p0,MSE = 1,mse,43,1.0,1.0,0.2,0.38576703083352903,0.8491222590264326,0.05222631209149987,8.335654212165492,0.516175799711837,0.17295473644551013
mse_1p0,MSE = 1,mse,44,1.0,1.0,0.2,0.3894318183413356,0.848588843419802,0.05471197716903501,8.30758082655172,0.5176845444240117,0.17926325251282618
mse_1p0,MSE = 1,mse,45,1.0,1.0,0.2,0.38686494948654837,0.8502101723065404,0.05235299556325427,8.3071490890902,0.5134274651266554,0.17594857579470954
mse_1p0,MSE = 1,mse,46,1.0,1.0,0.2,0.3853024582631225,0.8498404675410085,0.053129877391931174,8.271454540644196,0.5193460986236529,0.1738530353102902
spec_0p05,Spectral = 0.05,spectral,42,1.0,0.5,0.05,0.38522951446846077,0.8481358196597049,0.05401638561266618,8.2745095710565,0.5149069653071405,0.17569919499466102
spec_0p05,Spectral = 0.05,spectral,43,1.0,0.5,0.05,0.385826035415018,0.8481102170420303,0.054141464394712804,8.280022277930666,0.5144507598019054,0.1746774291100408
spec_0p05,Spectral = 0.05,spectral,44,1.0,0.5,0.05,0.39344110981185965,0.8469537905678325,0.05733221884541867,8.165505506871712,0.520981816711938,0.18095269760312305
spec_0p05,Spectral = 0.05,spectral,45,1.0,0.5,0.05,0.3881640951920346,0.8483081132910069,0.055986319744988404,8.24099294826289,0.5171778709450227,0.1768199829682027
spec_0p05,Spectral = 0.05,spectral,46,1.0,0.5,0.05,0.38667920218286583,0.8492301636257067,0.055017939474620525,8.273504945927817,0.5192772943334912,0.17736213527696756
spec_0p1,Spectral = 0.1,spectral,42,1.0,0.5,0.1,0.38994537588374456,0.8496308648658433,0.0559986986140042,8.235800401705974,0.5188810411620819,0.17945517417254406
spec_0p1,Spectral = 0.1,spectral,43,1.0,0.5,0.1,0.38762500074224654,0.8486842011168704,0.053668090541163206,8.310749660617176,0.5148301288170735,0.175542950204051
spec_0p1,Spectral = 0.1,spectral,44,1.0,0.5,0.1,0.3922213909648691,0.8481277552680525,0.05554000987676559,8.28281166236641,0.5198692897181291,0.18028681590883663
spec_0p1,Spectral = 0.1,spectral,45,1.0,0.5,0.1,0.386816254190222,0.8495950082715628,0.05387217692547663,8.258381679438806,0.514865557949023,0.17690752155307046
spec_0p1,Spectral = 0.1,spectral,46,1.0,0.5,0.1,0.38340652276069703,0.850108272099387,0.054130319997607826,8.281251045065254,0.517223142690721,0.1754206393842925
spec_0p3,Spectral = 0.3,spectral,42,1.0,0.5,0.3,0.3884125956110648,0.8495956681804496,0.052092583731985005,8.365894543431908,0.521331159039045,0.17531663999941532
spec_0p3,Spectral = 0.3,spectral,43,1.0,0.5,0.3,0.38823607678304606,0.849910849283035,0.05333227923568533,8.37229215011384,0.5213129169012167,0.17709502973186528
spec_0p3,Spectral = 0.3,spectral,44,1.0,0.5,0.3,0.3903441513447797,0.8494490129982343,0.05389477394284762,8.32938764589414,0.5247022402960948,0.18292985359214564
spec_0p3,Spectral = 0.3,spectral,45,1.0,0.5,0.3,0.3869660226201656,0.851007363576231,0.05119016752898414,8.343225505690745,0.5199903120436391,0.17768051086327427
spec_0p3,Spectral = 0.3,spectral,46,1.0,0.5,0.3,0.38681963849733675,0.8505405571780739,0.05275484369884244,8.288857156290382,0.5268098222115312,0.17715591733888905
spec_0p4,Spectral = 0.4,spectral,42,1.0,0.5,0.4,0.39139989954274873,0.8502315140953183,0.05342052331804598,8.369013021727719,0.5276057926331008,0.17824402795119074
spec_0p4,Spectral = 0.4,spectral,43,1.0,0.5,0.4,0.388574871789316,0.849944361754222,0.05235228429534509,8.356102386660798,0.5222314447504356,0.1785236864934795
spec_0p4,Spectral = 0.4,spectral,44,1.0,0.5,0.4,0.38865848641909334,0.8490608697257526,0.05134727931544081,8.338811824416062,0.5231243276647766,0.17943254274811407
spec_0p4,Spectral = 0.4,spectral,45,1.0,0.5,0.4,0.3899279147588946,0.8497819429757552,0.05170118225058353,8.296169934485212,0.5250015606668735,0.17729222674380077
spec_0p4,Spectral = 0.4,spectral,46,1.0,0.5,0.4,0.390385573922961,0.8493679262102013,0.050788483536408115,8.330272162466855,0.5280506217960762,0.17883170472319812
