motion_name,kc_type,experiment_id,motion_folder,motion_index,segment_id,sampling_frequency_hz,time_s,acc_nonrigid_norm,acc_rigid_norm,gyr_nonrigid_norm,gyr_rigid_norm,nonrigid_acc_x,rigid_acc_x,nonrigid_acc_y,rigid_acc_y,nonrigid_acc_z,rigid_acc_z,nonrigid_gyr_x,rigid_gyr_x,nonrigid_gyr_y,rigid_gyr_y,nonrigid_gyr_z,rigid_gyr_z
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,36.025002,10.45965672,9.43642712,1.27900469,0.81339568,-0.23469301,0.15916646,-9.24860573,-7.66242790,4.87981892,5.50527143,1.23468006,0.76814669,-0.32607201,-0.25643373,-0.07138000,-0.07619041
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,36.049999,8.68497467,9.26955891,1.69420385,1.02313352,-0.23370600,0.29414043,-5.81459713,-6.98806000,6.44706297,6.08319187,1.65819800,0.94650871,-0.34670901,-0.38652277,-0.02233900,-0.03903317
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,36.075001,8.87327671,9.49378681,0.58456129,0.99969447,0.12509300,0.32519615,-5.67076397,-7.22161484,6.82362318,6.15422821,0.36193699,0.92378169,-0.45554101,-0.38164616,0.05653200,-0.01904252
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,36.099998,10.74624634,9.62108707,0.83531201,1.29916728,-0.04326300,0.34214842,-8.90345669,-7.49323893,6.01734209,6.02491570,0.77566200,1.25347733,-0.30744299,-0.30475688,-0.03966700,-0.15412107
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,36.125000,10.21068478,9.79339218,2.36058736,1.85518169,-0.01836800,0.36550421,-8.11366081,-7.41144276,6.19889212,6.39120150,2.32550192,1.81335199,-0.33340800,-0.27428859,-0.23076700,-0.27967793
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,36.150002,9.00633717,9.65500450,2.40904737,1.78193069,0.26575100,0.64863455,-5.18209124,-6.74358702,7.36134577,6.87912941,2.36845398,1.73150480,-0.33617699,-0.28301823,-0.28446499,-0.31155834
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,36.174999,8.78603172,9.37522602,1.29383981,1.24588144,0.24732500,0.64086449,-4.18219280,-5.23174429,7.72285223,7.75325823,1.22705901,1.17142165,-0.31742001,-0.30373740,-0.25998500,-0.29620171
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,36.200001,10.05577374,10.13212204,0.51322180,0.70231682,0.46662101,0.82376689,-4.18154716,-5.95633221,9.13320923,8.15496254,0.27549300,0.59042585,-0.41842401,-0.34167594,-0.11145200,-0.16704412
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,36.224998,11.17311001,10.08220005,0.34126130,1.08156252,0.65854299,0.73745471,-8.15419769,-6.18963051,7.61010981,7.92435408,0.18713900,1.03884292,-0.27927300,-0.28433254,0.05869300,-0.09868055
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,36.250000,10.19566917,10.03849888,2.35381556,1.12813473,0.05948400,0.95394260,-6.36319017,-6.30470324,7.96604919,7.75320339,2.32504606,1.08074462,-0.35082799,-0.31163511,-0.10737300,-0.08696250
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,36.275002,9.43420696,9.97359657,1.21962106,1.65950608,1.13303101,0.93647319,-4.21768713,-6.06534529,8.36251259,7.86175728,1.17626297,1.62717116,-0.28469399,-0.26813856,-0.15109700,-0.18540889
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,36.299999,10.25261784,9.92767143,1.64342678,1.43119228,0.28501400,1.15816033,-5.76674795,-4.75504875,8.47228146,8.63752460,1.60664999,1.39227998,-0.34194100,-0.26891398,-0.05102800,-0.19378681
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,36.325001,9.44432735,9.63956261,1.67531037,1.08987808,1.35548699,1.18282306,-2.99826193,-4.66726494,8.85259342,8.35097218,1.63438499,1.04282093,-0.30394101,-0.28809056,-0.20753400,-0.13176674
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,36.349998,9.65333176,9.66649818,0.39643028,0.70306844,0.57146198,1.31149828,-3.22413993,-4.40878296,9.08103371,8.50198746,0.27413201,0.65312719,-0.25952101,-0.25689599,0.12106800,-0.04164764
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,36.375000,10.59177685,10.11004734,0.25983986,0.97902262,1.33335900,1.23442388,-6.07103395,-5.62176371,8.57615566,8.31174088,0.00374900,0.95446134,-0.25981000,-0.21763411,0.00121200,-0.01114642
