variant,variant_label,changed_term,changed_weight_value,time_l1,mse,spectral,metric,metric_label,metric_direction,mean,std,delta_vs_baseline,delta_percent_vs_baseline,num_seeds,seed_list
spec_0p05,Spectral = 0.05,spectral,0.05,1.0,0.5,0.05,acc_norm_rmse,Acc Norm RMSE,lower,0.5173589414198995,0.002502310811246304,-0.0036523952262452752,-0.7010202982830435,5,"42,43,44,45,46"
spec_0p05,Spectral = 0.05,spectral,0.05,1.0,0.5,0.05,gyr_norm_rmse,Gyr Norm RMSE,lower,0.177102287990599,0.002136421375477817,-0.000526881674849905,-0.29661889195465296,5,"42,43,44,45,46"
spec_0p1,Spectral = 0.1,spectral,0.1,1.0,0.5,0.1,rmse,RMSE,lower,0.38800290890835576,0.0029747772498817963,-0.0012420884047868452,-0.31910195721477724,5,"42,43,44,45,46"
spec_0p1,Spectral = 0.1,spectral,0.1,1.0,0.5,0.1,pearson,Pearson,higher,0.8492292203243432,0.0007180699673429207,-0.0003328689800177198,-0.03918124221977464,5,"42,43,44,45,46"
spec_0p1,Spectral = 0.1,spectral,0.1,1.0,0.5,0.1,psd_distance,PSD Dist.,lower,0.054641859191003464,0.0009433977309493573,0.0006367347492728104,1.1790265384164078,5,"42,43,44,45,46"
spec_0p1,Spectral = 0.1,spectral,0.1,1.0,0.5,0.1,hf_ratio_improvement,HF Improve.,higher,8.273798889838723,0.025233706125608622,-0.024405341581658746,-0.2941038916498365,5,"42,43,44,45,46"
spec_0p1,Spectral = 0.1,spectral,0.1,1.0,0.5,0.1,acc_norm_rmse,Acc Norm RMSE,lower,0.5171338320674057,0.002049173526501516,-0.0038775045787390328,-0.7442265275261213,5,"42,43,44,45,46"
spec_0p1,Spectral = 0.1,spectral,0.1,1.0,0.5,0.1,gyr_norm_rmse,Gyr Norm RMSE,lower,0.17752262024455892,0.002004560089469207,-0.0001065494208899731,-0.05998419127368037,5,"42,43,44,45,46"
spec_0p3,Spectral = 0.3,spectral,0.3,1.0,0.5,0.3,rmse,RMSE,lower,0.38815569697127855,0.0012698163392906745,-0.0010893003418640523,-0.2798495419037394,5,"42,43,44,45,46"
spec_0p3,Spectral = 0.3,spectral,0.3,1.0,0.5,0.3,pearson,Pearson,higher,0.8501006902432048,0.0005884402363625315,0.0005386009388438362,0.06339747802127726,5,"42,43,44,45,46"
spec_0p3,Spectral = 0.3,spectral,0.3,1.0,0.5,0.3,psd_distance,PSD Dist.,lower,0.05265292962766889,0.0009452766950597478,-0.0013521948140617635,-2.5038268646537922,5,"42,43,44,45,46"
spec_0p3,Spectral = 0.3,spectral,0.3,1.0,0.5,0.3,hf_ratio_improvement,HF Improve.,higher,8.339931400284204,0.02983924670045246,0.04172716886382233,0.5028457687968955,5,"42,43,44,45,46"
spec_0p3,Spectral = 0.3,spectral,0.3,1.0,0.5,0.3,acc_norm_rmse,Acc Norm RMSE,lower,0.5228292900983054,0.002528088569898898,0.0018179534521606255,0.3489278110267541,5,"42,43,44,45,46"
spec_0p3,Spectral = 0.3,spectral,0.3,1.0,0.5,0.3,gyr_norm_rmse,Gyr Norm RMSE,lower,0.17803559030511787,0.002574143120229295,0.0004064206396689751,0.22880287085417203,5,"42,43,44,45,46"
spec_0p4,Spectral = 0.4,spectral,0.4,1.0,0.5,0.4,rmse,RMSE,lower,0.3897893492866027,0.0010698002384755172,0.0005443519734600888,0.13984816175355097,5,"42,43,44,45,46"
spec_0p4,Spectral = 0.4,spectral,0.4,1.0,0.5,0.4,pearson,Pearson,higher,0.8496773229522498,0.0004159624546955317,0.00011523364788890156,0.013563887718113371,5,"42,43,44,45,46"
spec_0p4,Spectral = 0.4,spectral,0.4,1.0,0.5,0.4,psd_distance,PSD Dist.,lower,0.051921950543164654,0.0009049464751320257,-0.002083173898566,-3.8573633893088433,5,"42,43,44,45,46"
spec_0p4,Spectral = 0.4,spectral,0.4,1.0,0.5,0.4,hf_ratio_improvement,HF Improve.,higher,8.33807386595133,0.024898231067286027,0.03986963453094816,0.48046099395801184,5,"42,43,44,45,46"
spec_0p4,Spectral = 0.4,spectral,0.4,1.0,0.5,0.4,acc_norm_rmse,Acc Norm RMSE,lower,0.5252027495022527,0.0023269705241276114,0.004191412856107912,0.8044763254267908,5,"42,43,44,45,46"
spec_0p4,Spectral = 0.4,spectral,0.4,1.0,0.5,0.4,gyr_norm_rmse,Gyr Norm RMSE,lower,0.1784648377319566,0.0007068636435858533,0.0008356680665076999,0.47045655174857676,5,"42,43,44,45,46"
