kc_type,experiment_id,motion_folder,motion_index,motion_name,segment_id,start_idx,end_idx,sampling_frequency,is_anomaly_case,rmse_acc_x,pearson_acc_x,input_rmse_acc_x,psd_distance_acc_x,rmse_acc_y,pearson_acc_y,input_rmse_acc_y,psd_distance_acc_y,rmse_acc_z,pearson_acc_z,input_rmse_acc_z,psd_distance_acc_z,rmse_gyr_x,pearson_gyr_x,input_rmse_gyr_x,psd_distance_gyr_x,rmse_gyr_y,pearson_gyr_y,input_rmse_gyr_y,psd_distance_gyr_y,rmse_gyr_z,pearson_gyr_z,input_rmse_gyr_z,psd_distance_gyr_z,rmse_mean,pearson_mean,psd_distance_mean,acc_norm_rmse,gyr_norm_rmse,hf_ratio_improvement_acc,hf_ratio_improvement_gyr,hf_ratio_improvement_mean
arm,exp01,motion12_shaking,motion12,shaking,seg3,160,224,40.0,True,0.1823764145374298,0.9182196761524817,0.48426082730293274,0.009052432142198086,1.8202182054519653,0.17216089460612047,2.035144090652466,0.40616053342819214,1.3782331943511963,0.7302296637536048,1.913487195968628,0.345112681388855,2.870116710662842,0.49689631740744183,3.5022220611572266,1.1329704523086548,0.9354393482208252,0.5998924472948589,1.304121494293213,0.11342421174049377,1.565011739730835,-0.028018854924057753,1.896268367767334,0.3012426793575287,1.4585659354925156,0.48156335738174166,0.3846604983943204,0.5954508781433105,2.078245162963867,6.3377918749116455,9.516582736451435,7.9271873056815405
arm,exp01,motion12_shaking,motion12,shaking,seg3,176,240,40.0,True,0.2096278965473175,0.8791758335671991,0.3918500244617462,0.0019215067150071263,1.8167054653167725,-0.1283989647640113,1.9794373512268066,0.13733671605587006,1.7321730852127075,0.5891181324362331,2.341731071472168,0.06943300366401672,2.5777878761291504,0.7754051900462355,3.130821704864502,0.43912240862846375,0.9833455681800842,0.5063147580077382,1.2898236513137817,0.15748673677444458,1.7344651222229004,0.11153266673175609,1.9898755550384521,0.24405401945114136,1.5090175022681553,0.45552460267085837,0.17489239854815727,0.6891428828239441,2.2778427600860596,24.202486537150982,7.369990817182235,15.786238677166608
arm,exp01,motion12_shaking,motion12,shaking,seg3,192,256,40.0,True,0.18121741712093353,0.8142813269507491,0.34613916277885437,0.003360212780535221,1.8664956092834473,-0.29240830015678754,2.093686580657959,0.11835917830467224,1.7043027877807617,0.6691732563788417,2.186084508895874,0.09758031368255615,1.561995506286621,0.862008411355144,2.297725200653076,0.30473288893699646,1.0674986839294434,0.17942715381725213,1.3463068008422852,0.03858698159456253,1.4560320377349854,0.29132428498875185,1.6888618469238281,0.09235630184412003,1.3062570070226986,0.4206343555556586,0.10916264619057377,0.6556015610694885,1.300489068031311,4.176527641326161,2.3201540680797956,3.2483408547029784
arm,exp01,motion12_shaking,motion12,shaking,seg3,208,272,40.0,True,0.20337419211864471,0.921292119169802,0.36548519134521484,0.0036588232032954693,1.8607547283172607,-0.43973795045380615,2.0871617794036865,0.20339399576187134,1.84866201877594,0.7074745736798802,2.2360904216766357,0.14971452951431274,1.534593939781189,0.8677875199023197,2.1333272457122803,0.594028115272522,1.3349754810333252,0.276674937213949,1.6905161142349243,0.19260366261005402,1.9799854755401611,0.40553711652542535,2.071845293045044,0.465840220451355,1.4603909725944202,0.4565047193395951,0.26820655780223507,0.6528338193893433,1.1896311044692993,-0.17783485751361894,3.8115452719333422,1.8168552072098616
arm,exp01,motion12_shaking,motion12,shaking,seg3,224,288,40.0,True,0.22368745505809784,0.9288931031404715,0.4213778078556061,0.004383801948279142,1.4057098627090454,0.5926647285301548,1.797500729560852,0.46376070380210876,1.6672422885894775,0.48534123371059384,1.9761791229248047,0.19533377885818481,2.288255214691162,0.8260997543365531,2.9460716247558594,0.3085121512413025,1.23561429977417,0.5088499821297033,1.6520435810089111,0.42911869287490845,1.9708585739135742,0.5299273152190135,2.0643324851989746,0.7201499342918396,1.465227949122588,0.6452960195110817,0.35354317716943723,0.6275389790534973,2.068775177001953,0.45704137342642037,4.760422976676608,2.6087321750515144
arm,exp01,motion12_shaking,motion12,shaking,seg3,240,304,40.0,True,0.22135119140148163,0.9466650399533862,0.3855285346508026,0.0056918165646493435,1.3057194948196411,0.6852368346242461,1.7445039749145508,0.49027374386787415,1.2785221338272095,0.8587017229599726,1.4173555374145508,0.26628056168556213,2.2681002616882324,0.7132465588793029,2.914853096008301,1.096603512763977,1.169626235961914,0.7264119861168734,1.505255103111267,0.3532221019268036,1.8648641109466553,0.6320948105023673,1.9445616006851196,0.4999687075614929,1.351363904774189,0.7603928255060247,0.4520067407283932,0.5064210295677185,1.9867068529129028,27.344435899169046,7.33537683183825,17.339906365503648
arm,exp01,motion12_shaking,motion12,shaking,seg3,256,320,40.0,True,0.22892123460769653,0.944878924281276,0.4043889343738556,0.009195331484079361,1.1472344398498535,0.6678797042574202,1.6276713609695435,0.09781672060489655,1.4374783039093018,0.7466878347173899,1.8571350574493408,0.24118965864181519,2.6450281143188477,0.7865963473445847,3.2384519577026367,1.1287894248962402,1.1830754280090332,0.7681154019544854,1.5215165615081787,0.1413777768611908,1.9118486642837524,0.47706091126486594,1.9884817600250244,0.2853245735168457,1.4255976974964142,0.7318698539700037,0.3172822476675113,0.5752372741699219,2.4967591762542725,19.140616173912317,5.918254098039418,12.529435135975866
arm,exp01,motion12_shaking,motion12,shaking,seg3,272,336,40.0,True,0.2306116223335266,0.9260179883565012,0.4398632049560547,0.005764523055404425,1.3531370162963867,0.6013708248255234,1.8280699253082275,0.1005169078707695,1.3744951486587524,0.807291249643211,1.9505399465560913,0.3456610143184662,2.852431297302246,0.7716358880443998,3.4698970317840576,1.3508765697479248,0.9650600552558899,0.7370567104482736,1.456341028213501,0.12770551443099976,1.3953008651733398,0.6144158487120885,1.6077208518981934,0.1569518893957138,1.3618393341700237,0.7429647516716661,0.34791273646987975,0.5310138463973999,2.678117036819458,3.3608071843131166,12.41958210940026,7.890194646856688
arm,exp01,motion12_shaking,motion12,shaking,seg3,288,352,40.0,True,0.2084035575389862,0.915372429590052,0.35424137115478516,0.002039003651589155,1.4215095043182373,0.011084765112211627,1.7064050436019897,0.19066867232322693,1.571517825126648,0.819921714972747,2.0914182662963867,0.269473671913147,2.363312005996704,0.7316525943395261,2.7299914360046387,0.9922099113464355,1.0620266199111938,0.5304988711404466,1.4870275259017944,0.19202686846256256,1.3050971031188965,0.4675126041555948,1.5486557483673096,0.19362899661064148,1.321977769335111,0.579340496551763,0.3066745207179338,0.6043691635131836,2.139068841934204,2.4054946056844124,11.364131320456146,6.884812963070279
arm,exp01,motion12_shaking,motion12,shaking,seg3,304,368,40.0,True,0.250067800283432,0.9205421747871643,0.3981833755970001,0.007014709059149027,1.521477222442627,-0.325786113930046,1.7901087999343872,0.11975385993719101,2.085690975189209,0.6541697193527042,2.705765962600708,0.14538289606571198,2.6136176586151123,0.7300260735439773,3.1107256412506104,0.5995158553123474,1.498241901397705,0.18661188694024966,1.8686985969543457,0.11590749770402908,1.600897192955017,0.3380158231979833,1.9453948736190796,0.22614701092243195,1.5949987918138504,0.41726326064867214,0.2022869715001434,0.7126299738883972,2.311945915222168,1.3946719881149223,4.309971855741363,2.8523219219281426
