motion_name,rmse_mean_tcn_causal,acc_channel_rmse_mean_tcn_causal,gyr_channel_rmse_mean_tcn_causal,pearson_mean_tcn_causal,psd_distance_mean_tcn_causal,acc_norm_rmse_tcn_causal,gyr_norm_rmse_tcn_causal,hf_ratio_improvement_mean_tcn_causal,rmse_mean_lowpass,acc_channel_rmse_mean_lowpass,gyr_channel_rmse_mean_lowpass,pearson_mean_lowpass,psd_distance_mean_lowpass,acc_norm_rmse_lowpass,gyr_norm_rmse_lowpass,hf_ratio_improvement_mean_lowpass,rmse_mean_delta_tcn_causal_minus_lowpass,acc_channel_rmse_mean_delta_tcn_causal_minus_lowpass,gyr_channel_rmse_mean_delta_tcn_causal_minus_lowpass,pearson_mean_delta_tcn_causal_minus_lowpass,psd_distance_mean_delta_tcn_causal_minus_lowpass,acc_norm_rmse_delta_tcn_causal_minus_lowpass,gyr_norm_rmse_delta_tcn_causal_minus_lowpass,hf_ratio_improvement_mean_delta_tcn_causal_minus_lowpass
pause1,0.10212539636709711,0.1855852561038837,0.018665536630310512,0.8512006670524093,0.0010156168913651622,0.09703432639178476,0.020846336236909815,11.265755912530944,0.23820716688785243,0.45189873705569067,0.024515596720014222,0.8717146834518473,0.0011512001101099836,0.34782750810447494,0.026452245180936237,10.831466771843308,-0.13608177052075532,-0.26631348095180696,-0.00585006008970371,-0.020514016399438062,-0.0001355832187448214,-0.25079318171269016,-0.005605908944026423,0.43428914068763547
pause2,0.13584921682389298,0.2389128644226326,0.03278556922515337,0.2965315709533432,0.003838976506044231,0.20337892683843772,0.05310972798421668,11.60050420440015,0.2536962619882413,0.46917609800067217,0.03821642597581053,0.31423878219676415,0.005415507700954034,0.3454921272893747,0.07063357967611712,11.77769190324904,-0.11784704516434832,-0.23026323357803957,-0.005430856750657159,-0.01770721124342095,-0.0015765311949098035,-0.14211320045093695,-0.01752385169190044,-0.17718769884889163
pause3,0.13157623417320707,0.2561872610999715,0.0069652072464426356,0.06384043080344681,8.62553073233722e-05,0.05745798796415329,0.00488618044681581,7.492577654599027,0.23769037194350467,0.4705777201047611,0.004803023782248298,0.09120290904564025,2.7706421131251923e-06,0.3290132137281554,0.0040090180243298945,10.685998594384596,-0.1061141377702976,-0.21439045900478965,0.0021621834641943373,-0.02736247824219344,8.348466521024701e-05,-0.2715552257640021,0.000877162422485916,-3.193420939785569
pause4,0.2859134404562245,0.5478855614313635,0.023941319481085584,0.14614952915645169,0.007918787185683717,0.11255573538147796,0.038948212726973,11.677142801852469,0.3097977326888233,0.5964854247068281,0.023110040670818528,0.2104874950533131,0.00806114453072865,0.40459302214242643,0.03939970520806452,13.046948838131108,-0.023884292232598803,-0.048599863275464616,0.0008312788102670561,-0.06433796589686142,-0.0001423573450449328,-0.2920372867609485,-0.00045149248109151857,-1.3698060362786393
quasistatic1,0.22441127477328943,0.42851358420836433,0.020308965338214573,0.870307547162074,0.0011996932562808279,0.11267371513822581,0.02038731367829314,7.584086786770078,0.2799328970873224,0.5365401150193065,0.023325679155338244,0.8961737081028016,0.0010975488242957188,0.38350003703089897,0.02205959046841599,7.335185037370808,-0.05552162231403296,-0.10802653081094221,-0.0030167138171236715,-0.02586616094072758,0.00010214443198510912,-0.27082632189267314,-0.0016722767901228494,0.2489017493992698
quasistatic2,0.26790164601513927,0.4964013568448777,0.039401935185400805,0.9207137971953907,0.005908413499810039,0.13245763291357732,0.029202039169185623,7.4828659048575,0.3038509458959179,0.5598893644757011,0.0478125273161346,0.9317465147801786,0.008031384194445539,0.3379571583350094,0.03518202848903531,7.0478950075142395,-0.03594929988077861,-0.06348800763082346,-0.008410592130733793,-0.011032717584787854,-0.0021229706946354994,-0.20549952542143207,-0.0059799893198496865,0.4349708973432609
rotation,0.2847299527196634,0.48742027582340347,0.08203962961592341,0.9442195197653028,0.010202264942649548,0.2781154500380639,0.0550382639431665,4.7534862014701025,0.3536442924150696,0.5807025333325709,0.12658605149756835,0.9325078583789156,0.018905394594814856,0.41268742320037655,0.07494708926927658,4.502309868437317,-0.06891433969540622,-0.09328225750916747,-0.04454642188164494,0.01171166138638724,-0.008703129652165308,-0.13457197316231262,-0.01990882532611008,0.2511763330327854
shaking,0.8361843517039935,1.2885159886515651,0.38385271475642196,0.9387375878443228,0.2152814909894273,1.3159178747231828,0.49402568461128366,4.9593782419822325,1.1634869887095287,1.8035475755878314,0.523426401831226,0.9162240177897519,0.6060980270982356,1.7861551698542346,0.796609322185089,4.105239871964621,-0.3273026370055352,-0.5150315869362663,-0.13957368707480405,0.022513570054570886,-0.3908165361088083,-0.47023729513105184,-0.3025836375738053,0.854138370017612
slow,0.2621487485794112,0.4592721574072145,0.06502533975160783,0.9568792532283585,0.012911471988316516,0.2102647132025315,0.043844165046436664,6.5709593691577215,0.3495033412630487,0.6099034264556363,0.08910325607046103,0.9484215703950224,0.01906839401423747,0.5322339681860728,0.05544389347808484,6.340223854766832,-0.08735459268363754,-0.15063126904842183,-0.0240779163188532,0.008457682833336144,-0.006156922025920955,-0.32196925498354134,-0.011599728431648172,0.23073551439088913
slow1,0.1852089600759171,0.3171094765214576,0.05330844363037664,0.9629738769271412,0.01258117166371011,0.20793059698699676,0.06729488078620016,11.282646016873144,0.323440493773541,0.5817428829385243,0.06513810460855768,0.9538694768585897,0.02087826035114312,0.6448309217378037,0.07023278997500533,10.872783879711559,-0.1382315336976239,-0.2646334064170667,-0.011829660978181042,0.00910440006855151,-0.008297088687433011,-0.43690032475080687,-0.0029379091888051684,0.4098621371615856
