variant_name,description,outputs_root,attach_latent_dim,time_l1,mse,spectral,acc_channel_rmse_improvement,acc_channel_rmse_mean,acc_norm_rmse,gyr_channel_rmse_improvement,gyr_channel_rmse_mean,gyr_norm_rmse,hf_ratio_improvement_mean,input_acc_channel_rmse_mean,input_acc_norm_rmse,input_gyr_channel_rmse_mean,input_gyr_norm_rmse,input_rmse_mean,num_windows,pearson_mean,psd_distance_mean,rmse_mean,seed,seed_label
no_attachment_latent,Disable attachment latent code while retaining the final composite loss.,outputs/supervised_tcn_causal_ablations/no_attachment_latent/seed_runs/seed_0042,0,1.0,1.0,0.2,0.847756716097768,0.6422901595350958,0.5270626953053564,0.2519731978505951,0.14180642318377365,0.17784901261095282,8.242044196189893,1.490046875632864,1.2493681899278055,0.3937796210343687,0.6131447047228668,0.9419132483336161,8633,0.8488069745715919,0.05540229913430676,0.3920482913594347,42,seed_0042
no_attachment_latent,Disable attachment latent code while retaining the final composite loss.,outputs/supervised_tcn_causal_ablations/no_attachment_latent/seed_runs/seed_0043,0,1.0,1.0,0.2,0.8471738798897656,0.6428729957430983,0.5246593546768294,0.2512550982590142,0.14252452277535443,0.17877484271350286,8.262998181201453,1.490046875632864,1.2493681899278055,0.3937796210343687,0.6131447047228668,0.9419132483336161,8633,0.8487166010119072,0.05642414354141604,0.39269875925922637,43,seed_0043
no_attachment_latent,Disable attachment latent code while retaining the final composite loss.,outputs/supervised_tcn_causal_ablations/no_attachment_latent/seed_runs/seed_0044,0,1.0,1.0,0.2,0.8424805592421329,0.6475663163907309,0.5323367444138128,0.2511796780394554,0.14259994299491327,0.1784186749120083,8.2121380064899,1.490046875632864,1.2493681899278055,0.3937796210343687,0.6131447047228668,0.9419132483336161,8633,0.8483938524428087,0.05664828829895452,0.3950831296928221,44,seed_0044
no_attachment_latent,Disable attachment latent code while retaining the final composite loss.,outputs/supervised_tcn_causal_ablations/no_attachment_latent/seed_runs/seed_0045,0,1.0,1.0,0.2,0.8451926488183488,0.6448542268145151,0.5256169794978944,0.25082306456150605,0.1429565564728626,0.1795958768526004,8.270952344076049,1.490046875632864,1.2493681899278055,0.3937796210343687,0.6131447047228668,0.9419132483336161,8633,0.8483021681345364,0.056008289285361806,0.3939053916436889,45,seed_0045
no_attachment_latent,Disable attachment latent code while retaining the final composite loss.,outputs/supervised_tcn_causal_ablations/no_attachment_latent/seed_runs/seed_0046,0,1.0,1.0,0.2,0.8484265680470431,0.6416203075858208,0.5240561151683941,0.2507233644258254,0.1430562566085433,0.17953619923011677,8.280348392287163,1.490046875632864,1.2493681899278055,0.3937796210343687,0.6131447047228668,0.9419132483336161,8633,0.847317975570279,0.05624837524238433,0.392338282097182,46,seed_0046
no_l1_loss,Remove L1 reconstruction loss only.,outputs/supervised_tcn_causal_ablations/no_l1_loss/seed_runs/seed_0042,8,0.0,1.0,0.2,0.8373133774961576,0.6527334981367061,0.5302386593677084,0.24969584622748486,0.14408377480688378,0.1806215179854623,8.34160446698588,1.490046875632864,1.2493681899278055,0.3937796210343687,0.6131447047228668,0.9419132483336161,8633,0.8493657520713485,0.05624808489546607,0.398408636471795,42,seed_0042
no_l1_loss,Remove L1 reconstruction loss only.,outputs/supervised_tcn_causal_ablations/no_l1_loss/seed_runs/seed_0043,8,0.0,1.0,0.2,0.8422241451738272,0.6478227304590367,0.5295384344230049,0.25036862893433875,0.14341099210002992,0.17976099524043035,8.277921655991955,1.490046875632864,1.2493681899278055,0.3937796210343687,0.6131447047228668,0.9419132483336161,8633,0.8498195652878451,0.053532339684856864,0.39561686127953327,43,seed_0043
no_l1_loss,Remove L1 reconstruction loss only.,outputs/supervised_tcn_causal_ablations/no_l1_loss/seed_runs/seed_0044,8,0.0,1.0,0.2,0.8343183876382863,0.6557284879945775,0.5322238082644627,0.24832038625283157,0.1454592347815371,0.18150165469584884,8.256035698643448,1.490046875632864,1.2493681899278055,0.3937796210343687,0.6131447047228668,0.9419132483336161,8633,0.8478053271522352,0.05545557120985998,0.4005938613880573,44,seed_0044
no_l1_loss,Remove L1 reconstruction loss only.,outputs/supervised_tcn_causal_ablations/no_l1_loss/seed_runs/seed_0045,8,0.0,1.0,0.2,0.8472817501569524,0.6427651254759114,0.5313296620546866,0.2514092211173066,0.142370399917062,0.1779399595747553,8.24186818057727,1.490046875632864,1.2493681899278055,0.3937796210343687,0.6131447047228668,0.9419132483336161,8633,0.8501107756736748,0.05386097114173178,0.39256776269648663,45,seed_0045
no_l1_loss,Remove L1 reconstruction loss only.,outputs/supervised_tcn_causal_ablations/no_l1_loss/seed_runs/seed_0046,8,0.0,1.0,0.2,0.8530536132796941,0.6369932623531696,0.5289501450621658,0.25227904907031934,0.14150057196404928,0.176806092859259,8.324099490196929,1.490046875632864,1.2493681899278055,0.3937796210343687,0.6131447047228668,0.9419132483336161,8633,0.8501357404436697,0.05311551536980004,0.38924691715860943,46,seed_0046
